code,libelle,niveau
25.93,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",classe
25.94,Fabrication de vis et de boulons,classe
25.99,Fabrication d'autres produits métalliques n.c.a.,classe
26.11,Fabrication de composants électroniques,classe
26.12,Fabrication de cartes électroniques assemblées,classe
26.2,Fabrication d'ordinateurs et d'équipements périphériques,classe
26.3,Fabrication d'équipements de communication,classe
26.4,Fabrication de produits électroniques grand public,classe
26.51,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation",classe
26.52,Horlogerie,classe
26.6,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques",classe
26.7,Fabrication de matériels optique et photographique,classe
26.8,Fabrication de supports magnétiques et optiques,classe
27.11,"Fabrication de moteurs, génératrices et transformateurs électriques",classe
27.12,Fabrication de matériel de distribution et de commande électrique,classe
27.2,Fabrication de piles et d'accumulateurs électriques,classe
27.31,Fabrication de câbles de fibres optiques,classe
27.32,Fabrication d'autres fils et câbles électroniques ou électriques,classe
27.33,Fabrication de matériel d'installation électrique,classe
27.4,Fabrication d'appareils d'éclairage électrique,classe
27.51,Fabrication d'appareils électroménagers,classe
27.52,Fabrication d'appareils ménagers non électriques,classe
27.9,Fabrication d'autres matériels électriques,classe
28.11,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",classe
28.12,Fabrication d'équipements hydrauliques et pneumatiques,classe
28.13,Fabrication d'autres pompes et compresseurs,classe
28.14,Fabrication d'autres articles de robinetterie,classe
28.15,Fabrication d'engrenages et d'organes mécaniques de transmission,classe
28.21,Fabrication de fours et brûleurs,classe
28.22,Fabrication de matériel de levage et de manutention,classe
28.23,Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques),classe
28.24,Fabrication d'outillage portatif à moteur incorporé,classe
28.25,Fabrication d'équipements aérauliques et frigorifiques industriels,classe
28.29,Fabrication de machines diverses d'usage général,classe
28.3,Fabrication de machines agricoles et forestières,classe
28.41,Fabrication de machines de formage des métaux,classe
28.49,Fabrication d'autres machines-outils,classe
28.91,Fabrication de machines pour la métallurgie,classe
28.92,Fabrication de machines pour l'extraction ou la construction,classe
28.93,Fabrication de machines pour l'industrie agro-alimentaire,classe
28.94,Fabrication de machines pour les industries textiles,classe
28.95,Fabrication de machines pour les industries du papier et du carton,classe
28.96,Fabrication de machines pour le travail du caoutchouc ou des plastiques,classe
28.99,Fabrication d'autres machines d'usage spécifique n.c.a.,classe
29.1,Construction de véhicules automobiles,classe
29.2,Fabrication de carrosseries et remorques,classe
29.31,Fabrication d'équipements électriques et électroniques automobiles,classe
29.32,Fabrication d'autres équipements automobiles,classe
30.11,Construction de navires et de structures flottantes,classe
30.12,Construction de bateaux de plaisance,classe
30.2,Construction de locomotives et d'autre matériel ferroviaire roulant,classe
30.3,Construction aéronautique et spatiale,classe
30.4,Construction de véhicules militaires de combat,classe
30.91,Fabrication de motocycles,classe
30.92,Fabrication de bicyclettes et de véhicules pour invalides,classe
30.99,Fabrication d'autres équipements de transport n.c.a.,classe
31.01,Fabrication de meubles de bureau et de magasin,classe
31.02,Fabrication de meubles de cuisine,classe
31.03,Fabrication de matelas,classe
31.09,Fabrication d'autres meubles,classe
32.11,Frappe de monnaie,classe
32.12,Fabrication d'articles de joaillerie et bijouterie,classe
32.13,Fabrication d'articles de bijouterie fantaisie et articles similaires,classe
32.2,Fabrication d'instruments de musique,classe
32.3,Fabrication d'articles de sport,classe
32.4,Fabrication de jeux et jouets,classe
32.5,Fabrication d'instruments et de fournitures à usage médical et dentaire,classe
32.91,Fabrication d'articles de brosserie,classe
32.99,Autres activités manufacturières n.c.a.,classe
33.11,Réparation d'ouvrages en métaux,classe
33.12,Réparation de machines et équipements mécaniques,classe
33.13,Réparation de matériels électroniques et optiques,classe
33.14,Réparation d'équipements électriques,classe
33.15,Réparation et maintenance navale,classe
33.16,Réparation et maintenance d'aéronefs et d'engins spatiaux,classe
33.17,Réparation et maintenance d'autres équipements de transport,classe
33.19,Réparation d'autres équipements,classe
33.2,Installation de machines et d'équipements industriels,classe
35.11,Production d'électricité,classe
35.12,Transport d'électricité,classe
35.13,Distribution d'électricité,classe
35.14,Commerce d'électricité,classe
35.21,Production de combustibles gazeux,classe
35.22,Distribution de combustibles gazeux par conduites,classe
35.23,Commerce de combustibles gazeux par conduites,classe
35.3,Production et distribution de vapeur et d'air conditionné,classe
36,"Captage, traitement et distribution d'eau",classe
37,Collecte et traitement des eaux usées,classe
38.11,Collecte des déchets non dangereux,classe
38.12,Collecte des déchets dangereux,classe
38.21,Traitement et élimination des déchets non dangereux,classe
38.22,Traitement et élimination des déchets dangereux,classe
38.31,Démantèlement d'épaves,classe
38.32,Récupération de déchets triés,classe
39,Dépollution et autres services de gestion des déchets,classe
41.1,Promotion immobilière,classe
41.2,Construction de bâtiments résidentiels et non résidentiels,classe
42.11,Construction de routes et autoroutes,classe
42.12,Construction de voies ferrées de surface et souterraines,classe
42.13,Construction de ponts et tunnels,classe
42.21,Construction de réseaux pour fluides,classe
42.22,Construction de réseaux électriques et de télécommunications,classe
42.91,Construction d'ouvrages maritimes et fluviaux,classe
42.99,Construction d'autres ouvrages de génie civil n.c.a.,classe
43.11,Travaux de démolition,classe
43.12,Travaux de préparation des sites,classe
43.13,Forages et sondages,classe
43.21,Installation électrique,classe
43.22,Travaux de plomberie et installation de chauffage et de conditionnement d'air,classe
43.29,Autres travaux d'installation,classe
43.31,Travaux de plâtrerie,classe
43.32,Travaux de menuiserie,classe
43.33,Travaux de revêtement des sols et des murs,classe
43.34,Travaux de peinture et vitrerie,classe
43.39,Autres travaux de finition,classe
43.91,Travaux de couverture,classe
43.99,Autres travaux de construction spécialisés n.c.a.,classe
45.11,Commerce de voitures et de véhicules automobiles légers,classe
45.19,Commerce d'autres véhicules automobiles,classe
45.2,Entretien et réparation de véhicules automobiles,classe
45.31,Commerce de gros d'équipements automobiles,classe
45.32,Commerce de détail d'équipements automobiles,classe
45.4,Commerce et réparation de motocycles,classe
46.11,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",classe
46.12,"Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques",classe
46.13,Intermédiaires du commerce en bois et matériaux de construction,classe
46.14,"Intermédiaires du commerce en machines, équipements industriels, navires et avions",classe
46.15,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie",classe
46.16,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir",classe
46.17,"Intermédiaires du commerce en denrées, boissons et tabac",classe
46.18,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,classe
46.19,Intermédiaires du commerce en produits divers,classe
46.21,"Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",classe
46.22,Commerce de gros de fleurs et plantes,classe
46.23,Commerce de gros d'animaux vivants,classe
46.24,Commerce de gros de cuirs et peaux,classe
46.31,Commerce de gros de fruits et légumes,classe
46.32,Commerce de gros de viandes et de produits à base de viande,classe
46.33,"Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles",classe
46.34,Commerce de gros de boissons,classe
46.35,Commerce de gros de produits à base de tabac,classe
46.36,"Commerce de gros de sucre, chocolat et confiserie",classe
46.37,"Commerce de gros de café, thé, cacao et épices",classe
46.38,"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques",classe
46.39,"Commerce de gros non spécialisé de denrées, boissons et tabac",classe
46.41,Commerce de gros de textiles,classe
46.42,Commerce de gros d'habillement et de chaussures,classe
46.43,Commerce de gros d'appareils électroménagers,classe
46.44,"Commerce de gros de vaisselle, verrerie et produits d'entretien",classe
46.45,Commerce de gros de parfumerie et de produits de beauté,classe
46.46,Commerce de gros de produits pharmaceutiques,classe
46.47,"Commerce de gros de meubles, de tapis et d'appareils d'éclairage",classe
46.48,Commerce de gros d'articles d'horlogerie et de bijouterie,classe
46.49,Commerce de gros d'autres biens domestiques,classe
46.51,"Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels",classe
46.52,Commerce de gros de composants et d'équipements électroniques et de télécommunication,classe
46.61,Commerce de gros de matériel agricole,classe
46.62,Commerce de gros de machines-outils,classe
46.63,"Commerce de gros de machines pour l'extraction, la construction et le génie civil",classe
46.64,Commerce de gros de machines pour l'industrie textile et l'habillement,classe
46.65,Commerce de gros de mobilier de bureau,classe
46.66,Commerce de gros d'autres machines et équipements de bureau,classe
46.69,Commerce de gros d'autres machines et équipements,classe
46.71,Commerce de gros de combustibles et de produits annexes,classe
46.72,Commerce de gros de minerais et métaux,classe
46.73,"Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires",classe
46.74,Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage,classe
46.75,Commerce de gros de produits chimiques,classe
46.76,Commerce de gros d'autres produits intermédiaires,classe
46.77,Commerce de gros de déchets et débris,classe
46.9,Commerce de gros non spécialisé,classe
47.11,Commerce de détail en magasin non spécialisé à prédominance alimentaire,classe
47.19,Autre commerce de détail en magasin non spécialisé,classe
47.21,Commerce de détail de fruits et légumes en magasin spécialisé,classe
47.22,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,classe
47.23,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé",classe
47.24,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé",classe
47.25,Commerce de détail de boissons en magasin spécialisé,classe
47.26,Commerce de détail de produits à base de tabac en magasin spécialisé,classe
47.29,Autres commerces de détail alimentaires en magasin spécialisé,classe
47.3,Commerce de détail de carburants en magasin spécialisé,classe
47.41,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé",classe
47.42,Commerce de détail de matériels de télécommunication en magasin spécialisé,classe
47.43,Commerce de détail de matériels audio/vidéo en magasin spécialisé,classe
47.51,Commerce de détail de textiles en magasin spécialisé,classe
47.52,"Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé",classe
47.53,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé",classe
47.54,Commerce de détail d'appareils électroménagers en magasin spécialisé,classe
47.59,"Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé",classe
47.61,Commerce de détail de livres en magasin spécialisé,classe
47.62,Commerce de détail de journaux et papeterie en magasin spécialisé,classe
47.63,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé,classe
47.64,Commerce de détail d'articles de sport en magasin spécialisé,classe
47.65,Commerce de détail de jeux et jouets en magasin spécialisé,classe
47.71,Commerce de détail d'habillement en magasin spécialisé,classe
47.72,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,classe
47.73,Commerce de détail de produits pharmaceutiques en magasin spécialisé,classe
47.74,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,classe
47.75,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,classe
47.76,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",classe
47.77,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,classe
47.78,Autre commerce de détail de biens neufs en magasin spécialisé,classe
47.79,Commerce de détail de biens d'occasion en magasin,classe
47.81,Commerce de détail alimentaire sur éventaires et marchés,classe
47.82,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés",classe
47.89,Autres commerces de détail sur éventaires et marchés,classe
47.91,Vente à distance,classe
47.99,"Autres commerces de détail hors magasin, éventaires ou marchés",classe
49.1,Transport ferroviaire interurbain de voyageurs,classe
49.2,Transports ferroviaires de fret,classe
49.31,Transports urbains et suburbains de voyageurs,classe
49.32,Transports de voyageurs par taxis,classe
49.39,Autres transports terrestres de voyageurs n.c.a.,classe
49.41,Transports routiers de fret,classe
49.42,Services de déménagement,classe
49.5,Transports par conduites,classe
50.1,Transports maritimes et côtiers de passagers,classe
50.2,Transports maritimes et côtiers de fret,classe
50.3,Transports fluviaux de passagers,classe
50.4,Transports fluviaux de fret,classe
51.1,Transports aériens de passagers,classe
51.21,Transports aériens de fret,classe
51.22,Transports spatiaux,classe
52.1,Entreposage et stockage,classe
52.21,Services auxiliaires des transports terrestres,classe
52.22,Services auxiliaires des transports par eau,classe
52.23,Services auxiliaires des transports aériens,classe
52.24,Manutention,classe
52.29,Autres services auxiliaires des transports,classe
53.1,Activités de poste dans le cadre d'une obligation de service universel,classe
53.2,Autres activités de poste et de courrier,classe
55.1,Hôtels et hébergement similaire,classe
55.2,Hébergement touristique et autre hébergement de courte durée,classe
55.3,Terrains de camping et parcs pour caravanes ou véhicules de loisirs,classe
55.9,Autres hébergements,classe
56.1,Restaurants et services de restauration mobile,classe
56.21,Services des traiteurs,classe
56.29,Autres services de restauration,classe
56.3,Débits de boissons,classe
58.11,Édition de livres,classe
58.12,Édition de répertoires et de fichiers d'adresses,classe
58.13,Édition de journaux,classe
58.14,Édition de revues et périodiques,classe
58.19,Autres activités d'édition,classe
58.21,Édition de jeux électroniques,classe
58.29,Édition d'autres logiciels,classe
59.11,"Production de films cinématographiques, de vidéo et de programmes de télévision",classe
59.12,"Post-production de films cinématographiques, de vidéo et de programmes de télévision",classe
59.13,"Distribution de films cinématographiques, de vidéo et de programmes de télévision",classe
59.14,Projection de films cinématographiques,classe
59.2,Enregistrement sonore et édition musicale,classe
60.1,Édition et diffusion de programmes radio,classe
60.2,Programmation de télévision et télédiffusion,classe
61.1,Télécommunications filaires,classe
61.2,Télécommunications sans fil,classe
61.3,Télécommunications par satellite,classe
61.9,Autres activités de télécommunication,classe
62.01,Programmation informatique,classe
62.02,Conseil informatique,classe
62.03,Gestion d'installations informatiques,classe
62.09,Autres activités informatiques,classe
63.11,"Traitement de données, hébergement et activités connexes",classe
63.12,Portails Internet,classe
63.91,Activités des agences de presse,classe
63.99,Autres services d'information n.c.a.,classe
64.11,Activités de banque centrale,classe
64.19,Autres intermédiations monétaires,classe
64.2,Activités des sociétés holding,classe
64.3,Fonds de placement et entités financières similaires,classe
64.91,Crédit-bail,classe
64.92,Autre distribution de crédit,classe
64.99,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",classe
65.11,Assurance vie,classe
65.12,Autres assurances,classe
65.2,Réassurance,classe
65.3,Caisses de retraite,classe
66.11,Administration de marchés financiers,classe
66.12,Courtage de valeurs mobilières et de marchandises,classe
66.19,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",classe
66.21,Évaluation des risques et dommages,classe
66.22,Activités des agents et courtiers d'assurances,classe
66.29,Autres activités auxiliaires d'assurance et de caisses de retraite,classe
66.3,Gestion de fonds,classe
68.1,Activités des marchands de biens immobiliers,classe
68.2,Location et exploitation de biens immobiliers propres ou loués,classe
68.31,Agences immobilières,classe
68.32,Administration de biens immobiliers,classe
69.1,Activités juridiques,classe
69.2,Activités comptables,classe
70.1,Activités des sièges sociaux,classe
70.21,Conseil en relations publiques et communication,classe
70.22,Conseil pour les affaires et autres conseils de gestion,classe
71.11,Activités d'architecture,classe
71.12,Activités d'ingénierie,classe
71.2,Activités de contrôle et analyses techniques,classe
72.11,Recherche-développement en biotechnologie,classe
72.19,Recherche-développement en autres sciences physiques et naturelles,classe
72.2,Recherche-développement en sciences humaines et sociales,classe
73.11,Activités des agences de publicité,classe
73.12,Régie publicitaire de médias,classe
73.2,Études de marché et sondages,classe
74.1,Activités spécialisées de design,classe
74.2,Activités photographiques,classe
74.3,Traduction et interprétation,classe
74.9,"Autres activités spécialisées, scientifiques et techniques n.c.a.",classe
75,Activités vétérinaires,classe
77.11,Location et location-bail de voitures et de véhicules automobiles légers,classe
77.12,Location et location-bail de camions,classe
77.21,Location et location-bail d'articles de loisirs et de sport,classe
77.22,Location de vidéocassettes et disques vidéo,classe
77.29,Location et location-bail d'autres biens personnels et domestiques,classe
77.31,Location et location-bail de machines et équipements agricoles,classe
77.32,Location et location-bail de machines et équipements pour la construction,classe
77.33,Location et location-bail de machines de bureau et de matériel informatique,classe
77.34,Location et location-bail de matériels de transport par eau,classe
77.35,Location et location-bail de matériels de transport aérien,classe
77.39,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",classe
77.4,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright",classe
78.1,Activités des agences de placement de main-d'œuvre,classe
78.2,Activités des agences de travail temporaire,classe
78.3,Autre mise à disposition de ressources humaines,classe
79.11,Activités des agences de voyage,classe
79.12,Activités des voyagistes,classe
79.9,Autres services de réservation et activités connexes,classe
80.1,Activités de sécurité privée,classe
80.2,Activités liées aux systèmes de sécurité,classe
80.3,Activités d'enquête,classe
81.1,Activités combinées de soutien lié aux bâtiments,classe
81.21,Nettoyage courant des bâtiments,classe
81.22,Autres activités de nettoyage des bâtiments et nettoyage industriel,classe
81.29,Autres activités de nettoyage,classe
81.3,Services d'aménagement paysager,classe
82.11,Services administratifs combinés de bureau,classe
82.19,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau",classe
82.2,Activités de centres d'appels,classe
82.3,Organisation de salons professionnels et congrès,classe
82.91,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle,classe
82.92,Activités de conditionnement,classe
82.99,Autres activités de soutien aux entreprises n.c.a.,classe
84.11,Administration publique générale,classe
84.12,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale",classe
84.13,Administration publique (tutelle) des activités économiques,classe
84.21,Affaires étrangères,classe
84.22,Défense,classe
84.23,Justice,classe
84.24,Activités d'ordre public et de sécurité,classe
84.25,Services du feu et de secours,classe
84.3,Sécurité sociale obligatoire,classe
85.1,Enseignement pré-primaire,classe
85.2,Enseignement primaire,classe
85.31,Enseignement secondaire général,classe
85.32,Enseignement secondaire technique ou professionnel,classe
85.41,Enseignement post-secondaire non supérieur,classe
85.42,Enseignement supérieur,classe
85.51,Enseignement de disciplines sportives et d'activités de loisirs,classe
85.52,Enseignement culturel,classe
85.53,Enseignement de la conduite,classe
85.59,Enseignements divers,classe
85.6,Activités de soutien à l'enseignement,classe
86.1,Activités hospitalières,classe
86.21,Activité des médecins généralistes,classe
86.22,Activité des médecins spécialistes,classe
86.23,Pratique dentaire,classe
86.9,Autres activités pour la santé humaine,classe
87.1,Hébergement médicalisé,classe
87.2,"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes",classe
87.3,Hébergement social pour personnes âgées ou handicapées physiques,classe
87.9,Autres activités d'hébergement social,classe
88.1,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,classe
88.91,Action sociale sans hébergement pour jeunes enfants,classe
88.99,Autre action sociale sans hébergement n.c.a.,classe
90.01,Arts du spectacle vivant,classe
90.02,Activités de soutien au spectacle vivant,classe
90.03,Création artistique,classe
90.04,Gestion de salles de spectacles,classe
91.01,Gestion des bibliothèques et des archives,classe
91.02,Gestion des musées,classe
91.03,Gestion des sites et monuments historiques et des attractions touristiques similaires,classe
91.04,Gestion des jardins botaniques et zoologiques et des réserves naturelles,classe
92,Organisation de jeux de hasard et d'argent,classe
93.11,Gestion d'installations sportives,classe
93.12,Activités de clubs de sports,classe
93.13,Activités des centres de culture physique,classe
93.19,Autres activités liées au sport,classe
93.21,Activités des parcs d'attractions et parcs à thèmes,classe
93.29,Autres activités récréatives et de loisirs,classe
94.11,Activités des organisations patronales et consulaires,classe
94.12,Activités des organisations professionnelles,classe
94.2,Activités des syndicats de salariés,classe
94.91,Activités des organisations religieuses,classe
94.92,Activités des organisations politiques,classe
94.99,Activités des organisations associatives n.c.a.,classe
95.11,Réparation d'ordinateurs et d'équipements périphériques,classe
95.12,Réparation d'équipements de communication,classe
95.21,Réparation de produits électroniques grand public,classe
95.22,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin,classe
95.23,Réparation de chaussures et d'articles en cuir,classe
95.24,Réparation de meubles et d'équipements du foyer,classe
95.25,Réparation d'articles d'horlogerie et de bijouterie,classe
95.29,Réparation d'autres biens personnels et domestiques,classe
96.01,Blanchisserie-teinturerie,classe
96.02,Coiffure et soins de beauté,classe
96.03,Services funéraires,classe
96.04,Entretien corporel,classe
96.09,Autres services personnels n.c.a.,classe
97,Activités des ménages en tant qu'employeurs de personnel domestique,classe
98.1,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre,classe
98.2,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre,classe
99,Activités des organisations et organismes extraterritoriaux,classe
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",sousclasse
01.12Z,Culture du riz,sousclasse
01.13Z,"Culture de légumes, de melons, de racines et de tubercules",sousclasse
01.14Z,Culture de la canne à sucre,sousclasse
01.15Z,Culture du tabac,sousclasse
01.16Z,Culture de plantes à fibres,sousclasse
01.19Z,Autres cultures non permanentes,sousclasse
01.21Z,Culture de la vigne,sousclasse
01.22Z,Culture de fruits tropicaux et subtropicaux,sousclasse
01.23Z,Culture d'agrumes,sousclasse
01.24Z,Culture de fruits à pépins et à noyau,sousclasse
01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,sousclasse
01.26Z,Culture de fruits oléagineux,sousclasse
01.27Z,Culture de plantes à boissons,sousclasse
01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",sousclasse
01.29Z,Autres cultures permanentes,sousclasse
01.30Z,Reproduction de plantes,sousclasse
01.41Z,Élevage de vaches laitières,sousclasse
01.42Z,Élevage d'autres bovins et de buffles,sousclasse
01.43Z,Élevage de chevaux et d'autres équidés,sousclasse
01.44Z,Élevage de chameaux et d'autres camélidés,sousclasse
01.45Z,Élevage d'ovins et de caprins,sousclasse
01.46Z,Élevage de porcins,sousclasse
01.47Z,Élevage de volailles,sousclasse
01.49Z,Élevage d'autres animaux,sousclasse
01.50Z,Culture et élevage associés,sousclasse
01.61Z,Activités de soutien aux cultures,sousclasse
01.62Z,Activités de soutien à la production animale,sousclasse
01.63Z,Traitement primaire des récoltes,sousclasse
01.64Z,Traitement des semences,sousclasse
01.70Z,"Chasse, piégeage et services annexes",sousclasse
02.10Z,Sylviculture et autres activités forestières,sousclasse
02.20Z,Exploitation forestière,sousclasse
02.30Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,sousclasse
02.40Z,Services de soutien à l'exploitation forestière,sousclasse
03.11Z,Pêche en mer,sousclasse
03.12Z,Pêche en eau douce,sousclasse
03.21Z,Aquaculture en mer,sousclasse
03.22Z,Aquaculture en eau douce,sousclasse
05.10Z,Extraction de houille,sousclasse
05.20Z,Extraction de lignite,sousclasse
06.10Z,Extraction de pétrole brut,sousclasse
06.20Z,Extraction de gaz naturel,sousclasse
07.10Z,Extraction de minerais de fer,sousclasse
07.21Z,Extraction de minerais d'uranium et de thorium,sousclasse
07.29Z,Extraction d'autres minerais de métaux non ferreux,sousclasse
08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",sousclasse
08.12Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",sousclasse
08.91Z,Extraction des minéraux chimiques et d'engrais minéraux,sousclasse
08.92Z,Extraction de tourbe,sousclasse
08.93Z,Production de sel,sousclasse
08.99Z,Autres activités extractives n.c.a.,sousclasse
09.10Z,Activités de soutien à l'extraction d'hydrocarbures,sousclasse
09.90Z,Activités de soutien aux autres industries extractives,sousclasse
10.11Z,Transformation et conservation de la viande de boucherie,sousclasse
10.12Z,Transformation et conservation de la viande de volaille,sousclasse
10.13A,Préparation industrielle de produits à base de viande,sousclasse
10.13B,Charcuterie,sousclasse
10.20Z,"Transformation et conservation de poisson, de crustacés et de mollusques",sousclasse
10.31Z,Transformation et conservation de pommes de terre,sousclasse
10.32Z,Préparation de jus de fruits et légumes,sousclasse
10.39A,Autre transformation et conservation de légumes,sousclasse
10.39B,Transformation et conservation de fruits,sousclasse
10.41A,Fabrication d'huiles et graisses brutes,sousclasse
10.41B,Fabrication d'huiles et graisses raffinées,sousclasse
10.42Z,Fabrication de margarine et graisses comestibles similaires,sousclasse
10.51A,Fabrication de lait liquide et de produits frais,sousclasse
10.51B,Fabrication de beurre,sousclasse
10.51C,Fabrication de fromage,sousclasse
10.51D,Fabrication d'autres produits laitiers,sousclasse
10.52Z,Fabrication de glaces et sorbets,sousclasse
10.61A,Meunerie,sousclasse
10.61B,Autres activités du travail des grains,sousclasse
10.62Z,Fabrication de produits amylacés,sousclasse
10.71A,Fabrication industrielle de pain et de pâtisserie fraîche,sousclasse
10.71B,Cuisson de produits de boulangerie,sousclasse
10.71C,Boulangerie et boulangerie-pâtisserie,sousclasse
10.71D,Pâtisserie,sousclasse
10.72Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",sousclasse
10.73Z,Fabrication de pâtes alimentaires,sousclasse
10.81Z,Fabrication de sucre,sousclasse
10.82Z,"Fabrication de cacao, chocolat et de produits de confiserie",sousclasse
10.83Z,Transformation du thé et du café,sousclasse
10.84Z,Fabrication de condiments et assaisonnements,sousclasse
10.85Z,Fabrication de plats préparés,sousclasse
10.86Z,Fabrication d'aliments homogénéisés et diététiques,sousclasse
10.89Z,Fabrication d'autres produits alimentaires n.c.a.,sousclasse
10.91Z,Fabrication d'aliments pour animaux de ferme,sousclasse
10.92Z,Fabrication d'aliments pour animaux de compagnie,sousclasse
11.01Z,Production de boissons alcooliques distillées,sousclasse
11.02A,Fabrication de vins effervescents,sousclasse
11.02B,Vinification,sousclasse
11.03Z,Fabrication de cidre et de vins de fruits,sousclasse
11.04Z,Production d'autres boissons fermentées non distillées,sousclasse
11.05Z,Fabrication de bière,sousclasse
11.06Z,Fabrication de malt,sousclasse
11.07A,Industrie des eaux de table,sousclasse
11.07B,Production de boissons rafraîchissantes,sousclasse
12.00Z,Fabrication de produits à base de tabac,sousclasse
13.10Z,Préparation de fibres textiles et filature,sousclasse
13.20Z,Tissage,sousclasse
13.30Z,Ennoblissement textile,sousclasse
13.91Z,Fabrication d'étoffes à mailles,sousclasse
13.92Z,"Fabrication d'articles textiles, sauf habillement",sousclasse
13.93Z,Fabrication de tapis et moquettes,sousclasse
13.94Z,"Fabrication de ficelles, cordes et filets",sousclasse
13.95Z,"Fabrication de non-tissés, sauf habillement",sousclasse
13.96Z,Fabrication d'autres textiles techniques et industriels,sousclasse
13.99Z,Fabrication d'autres textiles n.c.a.,sousclasse
14.11Z,Fabrication de vêtements en cuir,sousclasse
14.12Z,Fabrication de vêtements de travail,sousclasse
14.13Z,Fabrication de vêtements de dessus,sousclasse
14.14Z,Fabrication de vêtements de dessous,sousclasse
14.19Z,Fabrication d'autres vêtements et accessoires,sousclasse
14.20Z,Fabrication d'articles en fourrure,sousclasse
14.31Z,Fabrication d'articles chaussants à mailles,sousclasse
14.39Z,Fabrication d'autres articles à mailles,sousclasse
15.11Z,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,sousclasse
15.12Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",sousclasse
15.20Z,Fabrication de chaussures,sousclasse
16.10A,"Sciage et rabotage du bois, hors imprégnation",sousclasse
16.10B,Imprégnation du bois,sousclasse
16.21Z,Fabrication de placage et de panneaux de bois,sousclasse
16.22Z,Fabrication de parquets assemblés,sousclasse
16.23Z,Fabrication de charpentes et d'autres menuiseries,sousclasse
16.24Z,Fabrication d'emballages en bois,sousclasse
16.29Z,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie",sousclasse
17.11Z,Fabrication de pâte à papier,sousclasse
17.12Z,Fabrication de papier et de carton,sousclasse
17.21A,Fabrication de carton ondulé,sousclasse
17.21B,Fabrication de cartonnages,sousclasse
17.21C,Fabrication d'emballages en papier,sousclasse
17.22Z,Fabrication d'articles en papier à usage sanitaire ou domestique,sousclasse
17.23Z,Fabrication d'articles de papeterie,sousclasse
