code,libelle,niveau
16.1,Sciage et rabotage du bois,groupe
16.2,"Fabrication d'articles en bois, liège, vannerie et sparterie",groupe
17.1,"Fabrication de pâte à papier, de papier et de carton",groupe
17.2,Fabrication d'articles en papier ou en carton,groupe
18.1,Imprimerie et services annexes,groupe
18.2,Reproduction d'enregistrements,groupe
19.1,Cokéfaction,groupe
19.2,Raffinage du pétrole,groupe
20.1,"Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique",groupe
20.2,Fabrication de pesticides et d'autres produits agrochimiques,groupe
20.3,"Fabrication de peintures, vernis, encres et mastics",groupe
20.4,"Fabrication de savons, de produits d'entretien et de parfums",groupe
20.5,Fabrication d'autres produits chimiques,groupe
20.6,Fabrication de fibres artificielles ou synthétiques,groupe
21.1,Fabrication de produits pharmaceutiques de base,groupe
21.2,Fabrication de préparations pharmaceutiques,groupe
22.1,Fabrication de produits en caoutchouc,groupe
22.2,Fabrication de produits en plastique,groupe
23.1,Fabrication de verre et d'articles en verre,groupe
23.2,Fabrication de produits réfractaires,groupe
23.3,Fabrication de matériaux de construction en terre cuite,groupe
23.4,Fabrication d'autres produits en céramique et en porcelaine,groupe
23.5,"Fabrication de ciment, chaux et plâtre",groupe
23.6,"Fabrication d'ouvrages en béton, en ciment ou en plâtre",groupe
23.7,"Taille, façonnage et finissage de pierres",groupe
23.9,Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.,groupe
24.1,Sidérurgie,groupe
24.2,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",groupe
24.3,Fabrication d'autres produits de première transformation de l'acier,groupe
24.4,Production de métaux précieux et d'autres métaux non ferreux,groupe
24.5,Fonderie,groupe
25.1,Fabrication d'éléments en métal pour la construction,groupe
25.2,"Fabrication de réservoirs, citernes et conteneurs métalliques",groupe
25.3,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central",groupe
25.4,Fabrication d'armes et de munitions,groupe
25.5,"Forge, emboutissage, estampage ; métallurgie des poudres",groupe
25.6,Traitement et revêtement des métaux ; usinage,groupe
25.7,"Fabrication de coutellerie, d'outillage et de quincaillerie",groupe
25.9,Fabrication d'autres ouvrages en métaux,groupe
26.1,Fabrication de composants et cartes électroniques,groupe
26.2,Fabrication d'ordinateurs et d'équipements périphériques,groupe
26.3,Fabrication d'équipements de communication,groupe
26.4,Fabrication de produits électroniques grand public,groupe
26.5,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie",groupe
26.6,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques",groupe
26.7,Fabrication de matériels optique et photographique,groupe
26.8,Fabrication de supports magnétiques et optiques,groupe
27.1,"Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique",groupe
27.2,Fabrication de piles et d'accumulateurs électriques,groupe
27.3,Fabrication de fils et câbles et de matériel d'installation électrique,groupe
27.4,Fabrication d'appareils d'éclairage électrique,groupe
27.5,Fabrication d'appareils ménagers,groupe
27.9,Fabrication d'autres matériels électriques,groupe
28.1,Fabrication de machines d'usage général,groupe
28.2,Fabrication d'autres machines d'usage général,groupe
28.3,Fabrication de machines agricoles et forestières,groupe
28.4,Fabrication de machines de formage des métaux et de machines-outils,groupe
28.9,Fabrication d'autres machines d'usage spécifique,groupe
29.1,Construction de véhicules automobiles,groupe
29.2,Fabrication de carrosseries et remorques,groupe
29.3,Fabrication d'équipements automobiles,groupe
30.1,Construction navale,groupe
30.2,Construction de locomotives et d'autre matériel ferroviaire roulant,groupe
30.3,Construction aéronautique et spatiale,groupe
30.4,Construction de véhicules militaires de combat,groupe
30.9,Fabrication de matériels de transport n.c.a.,groupe
31,Fabrication de meubles,groupe
32.1,"Fabrication d'articles de joaillerie, bijouterie et articles similaires",groupe
32.2,Fabrication d'instruments de musique,groupe
32.3,Fabrication d'articles de sport,groupe
32.4,Fabrication de jeux et jouets,groupe
32.5,Fabrication d'instruments et de fournitures à usage médical et dentaire,groupe
32.9,Activités manufacturières n.c.a.,groupe
33.1,"Réparation d'ouvrages en métaux, de machines et d'équipements",groupe
33.2,Installation de machines et d'équipements industriels,groupe
35.1,"Production, transport et distribution d'électricité",groupe
35.2,Production et distribution de combustibles gazeux,groupe
35.3,Production et distribution de vapeur et d'air conditionné,groupe
36,"Captage, traitement et distribution d'eau",groupe
37,Collecte et traitement des eaux usées,groupe
38.1,Collecte des déchets,groupe
38.2,Traitement et élimination des déchets,groupe
38.3,Récupération,groupe
39,Dépollution et autres services de gestion des déchets,groupe
41.1,Promotion immobilière,groupe
41.2,Construction de bâtiments résidentiels et non résidentiels,groupe
42.1,Construction de routes et de voies ferrées,groupe
42.2,Construction de réseaux et de lignes,groupe
42.9,Construction d'autres ouvrages de génie civil,groupe
43.1,Démolition et préparation des sites,groupe
43.2,"Travaux d'installation électrique, plomberie et autres travaux d'installation",groupe
43.3,Travaux de finition,groupe
43.9,Autres travaux de construction spécialisés,groupe
45.1,Commerce de véhicules automobiles,groupe
45.2,Entretien et réparation de véhicules automobiles,groupe
45.3,Commerce d'équipements automobiles,groupe
45.4,Commerce et réparation de motocycles,groupe
46.1,Intermédiaires du commerce de gros,groupe
46.2,Commerce de gros de produits agricoles bruts et d'animaux vivants,groupe
46.3,"Commerce de gros de produits alimentaires, de boissons et de tabac",groupe
46.4,Commerce de gros de biens domestiques,groupe
46.5,Commerce de gros d'équipements de l'information et de la communication,groupe
46.6,Commerce de gros d'autres équipements industriels,groupe
46.7,Autres commerces de gros spécialisés,groupe
46.9,Commerce de gros non spécialisé,groupe
47.1,Commerce de détail en magasin non spécialisé,groupe
47.2,Commerce de détail alimentaire en magasin spécialisé,groupe
47.3,Commerce de détail de carburants en magasin spécialisé,groupe
47.4,Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé,groupe
47.5,Commerce de détail d'autres équipements du foyer en magasin spécialisé,groupe
47.6,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,groupe
47.7,Autres commerces de détail en magasin spécialisé,groupe
47.8,Commerce de détail sur éventaires et marchés,groupe
47.9,"Commerce de détail hors magasin, éventaires ou marchés",groupe
49.1,Transport ferroviaire interurbain de voyageurs,groupe
49.2,Transports ferroviaires de fret,groupe
49.3,Autres transports terrestres de voyageurs,groupe
49.4,Transports routiers de fret et services de déménagement,groupe
49.5,Transports par conduites,groupe
50.1,Transports maritimes et côtiers de passagers,groupe
50.2,Transports maritimes et côtiers de fret,groupe
50.3,Transports fluviaux de passagers,groupe
50.4,Transports fluviaux de fret,groupe
51.1,Transports aériens de passagers,groupe
51.2,Transports aériens de fret et transports spatiaux,groupe
52.1,Entreposage et stockage,groupe
52.2,Services auxiliaires des transports,groupe
53.1,Activités de poste dans le cadre d'une obligation de service universel,groupe
53.2,Autres activités de poste et de courrier,groupe
55.1,Hôtels et hébergement similaire,groupe
55.2,Hébergement touristique et autre hébergement de courte durée,groupe
55.3,Terrains de camping et parcs pour caravanes ou véhicules de loisirs,groupe
55.9,Autres hébergements,groupe
56.1,Restaurants et services de restauration mobile,groupe
56.2,Traiteurs et autres services de restauration,groupe
56.3,Débits de boissons,groupe
58.1,Édition de livres et périodiques et autres activités d'édition,groupe
58.2,Édition de logiciels,groupe
59.1,"Activités cinématographiques, vidéo et de télévision",groupe
59.2,Enregistrement sonore et édition musicale,groupe
60.1,Édition et diffusion de programmes radio,groupe
60.2,Programmation de télévision et télédiffusion,groupe
61.1,Télécommunications filaires,groupe
61.2,Télécommunications sans fil,groupe
61.3,Télécommunications par satellite,groupe
61.9,Autres activités de télécommunication,groupe
62,"Programmation, conseil et autres activités informatiques",groupe
63.1,"Traitement de données, hébergement et activités connexes ; portails Internet",groupe
63.9,Autres services d'information,groupe
64.1,Intermédiation monétaire,groupe
64.2,Activités des sociétés holding,groupe
64.3,Fonds de placement et entités financières similaires,groupe
64.9,"Autres activités des services financiers, hors assurance et caisses de retraite",groupe
65.1,Assurance,groupe
65.2,Réassurance,groupe
65.3,Caisses de retraite,groupe
66.1,"Activités auxiliaires de services financiers, hors assurance et caisses de retraite",groupe
66.2,Activités auxiliaires d'assurance et de caisses de retraite,groupe
66.3,Gestion de fonds,groupe
68.1,Activités des marchands de biens immobiliers,groupe
68.2,Location et exploitation de biens immobiliers propres ou loués,groupe
68.3,Activités immobilières pour compte de tiers,groupe
69.1,Activités juridiques,groupe
69.2,Activités comptables,groupe
70.1,Activités des sièges sociaux,groupe
70.2,Conseil de gestion,groupe
71.1,Activités d'architecture et d'ingénierie,groupe
71.2,Activités de contrôle et analyses techniques,groupe
72.1,Recherche-développement en sciences physiques et naturelles,groupe
72.2,Recherche-développement en sciences humaines et sociales,groupe
73.1,Publicité,groupe
73.2,Études de marché et sondages,groupe
74.1,Activités spécialisées de design,groupe
74.2,Activités photographiques,groupe
74.3,Traduction et interprétation,groupe
74.9,"Autres activités spécialisées, scientifiques et techniques n.c.a.",groupe
75,Activités vétérinaires,groupe
77.1,Location et location-bail de véhicules automobiles,groupe
77.2,Location et location-bail de biens personnels et domestiques,groupe
77.3,"Location et location-bail d'autres machines, équipements et biens",groupe
77.4,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright",groupe
78.1,Activités des agences de placement de main-d'œuvre,groupe
78.2,Activités des agences de travail temporaire,groupe
78.3,Autre mise à disposition de ressources humaines,groupe
79.1,Activités des agences de voyage et voyagistes,groupe
79.9,Autres services de réservation et activités connexes,groupe
80.1,Activités de sécurité privée,groupe
80.2,Activités liées aux systèmes de sécurité,groupe
80.3,Activités d'enquête,groupe
81.1,Activités combinées de soutien lié aux bâtiments,groupe
81.2,Activités de nettoyage,groupe
81.3,Services d'aménagement paysager,groupe
82.1,Activités administratives,groupe
82.2,Activités de centres d'appels,groupe
82.3,Organisation de salons professionnels et congrès,groupe
82.9,Activités de soutien aux entreprises n.c.a.,groupe
84.1,"Administration générale, économique et sociale",groupe
84.2,Services de prérogative publique,groupe
84.3,Sécurité sociale obligatoire,groupe
85.1,Enseignement pré-primaire,groupe
85.2,Enseignement primaire,groupe
85.3,Enseignement secondaire,groupe
85.4,Enseignement supérieur et post-secondaire non supérieur,groupe
85.5,Autres activités d'enseignement,groupe
85.6,Activités de soutien à l'enseignement,groupe
86.1,Activités hospitalières,groupe
86.2,Activité des médecins et des dentistes,groupe
86.9,Autres activités pour la santé humaine,groupe
87.1,Hébergement médicalisé,groupe
87.2,"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes",groupe
87.3,Hébergement social pour personnes âgées ou handicapées physiques,groupe
87.9,Autres activités d'hébergement social,groupe
88.1,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,groupe
88.9,Autre action sociale sans hébergement,groupe
90,"Activités créatives, artistiques et de spectacle",groupe
91,"Bibliothèques, archives, musées et autres activités culturelles",groupe
92,Organisation de jeux de hasard et d'argent,groupe
93.1,Activités liées au sport,groupe
93.2,Activités récréatives et de loisirs,groupe
94.1,"Activités des organisations économiques, patronales et professionnelles",groupe
94.2,Activités des syndicats de salariés,groupe
94.9,Activités des autres organisations associatives,groupe
95.1,Réparation d'ordinateurs et d'équipements de communication,groupe
95.2,Réparation de biens personnels et domestiques,groupe
96,Autres services personnels,groupe
97,Activités des ménages en tant qu'employeurs de personnel domestique,groupe
98.1,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre,groupe
98.2,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre,groupe
99,Activités des organisations et organismes extraterritoriaux,groupe
1.11,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",classe
1.12,Culture du riz,classe
1.13,"Culture de légumes, de melons, de racines et de tubercules",classe
1.14,Culture de la canne à sucre,classe
1.15,Culture du tabac,classe
1.16,Culture de plantes à fibres,classe
1.19,Autres cultures non permanentes,classe
1.21,Culture de la vigne,classe
1.22,Culture de fruits tropicaux et subtropicaux,classe
1.23,Culture d'agrumes,classe
1.24,Culture de fruits à pépins et à noyau,classe
1.25,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,classe
1.26,Culture de fruits oléagineux,classe
1.27,Culture de plantes à boissons,classe
1.28,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",classe
1.29,Autres cultures permanentes,classe
1.3,Reproduction de plantes,classe
1.41,Élevage de vaches laitières,classe
1.42,Élevage d'autres bovins et de buffles,classe
1.43,Élevage de chevaux et d'autres équidés,classe
1.44,Élevage de chameaux et d'autres camélidés,classe
1.45,Élevage d'ovins et de caprins,classe
1.46,Élevage de porcins,classe
1.47,Élevage de volailles,classe
1.49,Élevage d'autres animaux,classe
1.5,Culture et élevage associés,classe
1.61,Activités de soutien aux cultures,classe
1.62,Activités de soutien à la production animale,classe
1.63,Traitement primaire des récoltes,classe
1.64,Traitement des semences,classe
1.7,"Chasse, piégeage et services annexes",classe
2.1,Sylviculture et autres activités forestières,classe
2.2,Exploitation forestière,classe
2.3,Récolte de produits forestiers non ligneux poussant à l'état sauvage,classe
