code,libelle,type
5647,Société coopérative de production de HLM anonyme à directoire ,3
5648,SA de crédit immobilier à directoire ,3
5651,SA coopérative de consommation à directoire ,3
5652,SA coopérative de commerçants-détaillants à directoire,3
5653,SA coopérative artisanale à directoire ,3
5654,SA coopérative d'intérêt maritime à directoire ,3
5655,SA coopérative de transport à directoire ,3
5658,SA coopérative de production (SCOP) à directoire,3
5659,SA union de sociétés coopératives à directoire ,3
5660,Autre SA coopérative à directoire,3
5670,Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire),3
5685,Société d'exercice libéral à forme anonyme à directoire ,3
5699,SA à directoire (s.a.i.),3
5710,"SAS, société par actions simplifiée",3
5770,Société de Participations Financières de Profession Libérale Société par actions simplifiée (SPFPL SAS),3
5785,Société d'exercice libéral par action simplifiée ,3
5800,Société européenne ,3
6100,Caisse d'Épargne et de Prévoyance ,3
6210,Groupement européen d'intérêt économique (GEIE) ,3
6220,Groupement d'intérêt économique (GIE) ,3
6316,Coopérative d'utilisation de matériel agricole en commun (CUMA) ,3
6317,Société coopérative agricole ,3
6318,Union de sociétés coopératives agricoles ,3
6411,Société d'assurance à forme mutuelle,3
6511,Sociétés Interprofessionnelles de Soins Ambulatoires ,3
6521,Société civile de placement collectif immobilier (SCPI) ,3
6532,Société civile d'intérêt collectif agricole (SICA) ,3
6533,Groupement agricole d'exploitation en commun (GAEC) ,3
6534,Groupement foncier agricole ,3
6535,Groupement agricole foncier ,3
6536,Groupement forestier ,3
6537,Groupement pastoral ,3
6538,Groupement foncier et rural,3
6539,Société civile foncière ,3
6540,Société civile immobilière ,3
6541,Société civile immobilière de construction-vente,3
6542,Société civile d'attribution ,3
6543,Société civile coopérative de construction ,3
6544,Société civile immobilière d' accession progressive à la propriété,3
6551,Société civile coopérative de consommation ,3
6554,Société civile coopérative d'intérêt maritime ,3
6558,Société civile coopérative entre médecins ,3
6560,Autre société civile coopérative ,3
6561,SCP d'avocats ,3
6562,SCP d'avocats aux conseils ,3
6563,SCP d'avoués d'appel ,3
6564,SCP d'huissiers ,3
6565,SCP de notaires ,3
6566,SCP de commissaires-priseurs ,3
6567,SCP de greffiers de tribunal de commerce ,3
6568,SCP de conseils juridiques ,3
6569,SCP de commissaires aux comptes ,3
6571,SCP de médecins ,3
6572,SCP de dentistes ,3
6573,SCP d'infirmiers ,3
6574,SCP de masseurs-kinésithérapeutes,3
6575,SCP de directeurs de laboratoire d'analyse médicale ,3
6576,SCP de vétérinaires ,3
6577,SCP de géomètres experts,3
6578,SCP d'architectes ,3
6585,Autre société civile professionnelle,3
6589,Société civile de moyens ,3
6595,Caisse locale de crédit mutuel ,3
6596,Caisse de crédit agricole mutuel ,3
6597,Société civile d'exploitation agricole ,3
6598,Exploitation agricole à responsabilité limitée ,3
6599,Autre société civile ,3
6901,Autre personne de droit privé inscrite au registre du commerce et des sociétés,3
7111,Autorité constitutionnelle ,3
7112,Autorité administrative ou publique indépendante,3
7113,Ministère ,3
7120,Service central d'un ministère ,3
7150,Service du ministère de la Défense ,3
7160,Service déconcentré à compétence nationale d'un ministère (hors Défense),3
7171,Service déconcentré de l'État à compétence (inter) régionale ,3
7172,Service déconcentré de l'État à compétence (inter) départementale ,3
7179,(Autre) Service déconcentré de l'État à compétence territoriale ,3
7190,Ecole nationale non dotée de la personnalité morale ,3
